number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
37,0.046187206961407205,2026-07-13 14:08:58.249500,2026-07-13 14:08:58.785278,0 days 00:00:00.535778,0.9174638893913745,0.08559829819197336,127,9,173,0.6999433546319085,1100,58,0.08055978106320744,2.8596059654841916e-06,59.324415573191104,0.7145249953438435,PRUNED
38,0.062022431780133336,2026-07-13 14:08:58.786121,2026-07-13 14:08:59.490682,0 days 00:00:00.704561,0.9287216723566878,0.03333994081217107,63,7,180,0.6506552253357253,1700,63,0.8188300061858172,8.030586466162764e-05,91.47912231098053,0.6343999614832534,COMPLETE
39,0.04819888213610958,2026-07-13 14:08:59.491433,2026-07-13 14:09:00.086122,0 days 00:00:00.594689,0.8409375536300983,0.046608206601848855,31,10,195,0.9886045987954764,1500,49,0.15321827499640653,7.295287478352608e-05,31.931241333758,0.7190298201039798,PRUNED
40,0.04367107056341736,2026-07-13 14:09:00.086964,2026-07-13 14:09:00.472939,0 days 00:00:00.385975,0.9612128543848584,0.12269021953745908,255,10,148,0.8562018285619396,600,15,1.5846733273152942,3.845003812670501e-05,48.33215540002768,0.7226626420900857,PRUNED
41,0.058713516642170324,2026-07-13 14:09:00.473704,2026-07-13 14:09:01.099592,0 days 00:00:00.625888,0.9656934302311628,0.03048639154325002,127,4,196,0.7030726525424761,1400,55,4.199577502171621e-06,9.838954831970828e-05,36.91758992972378,0.7406249393242439,COMPLETE
42,0.06242215970693489,2026-07-13 14:09:01.100453,2026-07-13 14:09:01.761204,0 days 00:00:00.660751,0.9905349148046211,0.03154048670055503,63,6,192,0.8887649201628666,1600,50,0.278551794641952,5.255499087946337e-08,57.84111579820277,0.6433955410935539,COMPLETE
43,0.06152352869524649,2026-07-13 14:09:01.762041,2026-07-13 14:09:02.438001,0 days 00:00:00.675960,0.9847843680079332,0.04853904285424554,255,5,195,0.9012205818449379,1500,51,0.10380000664973456,4.547573849792542e-08,41.369384386427356,0.6630045530616862,COMPLETE
44,0.07947595937335239,2026-07-13 14:09:02.438991,2026-07-13 14:09:02.910018,0 days 00:00:00.471027,0.827763083021179,0.13025803953496792,31,10,194,0.941061605876882,800,48,4.3480446836390504e-05,0.023237914319159902,41.51332544025525,0.6038039322342754,COMPLETE
45,0.042756867463063446,2026-07-13 14:09:02.910872,2026-07-13 14:09:03.449348,0 days 00:00:00.538476,0.8742837861278399,0.0567728456358703,127,7,164,0.7355053071692651,1000,52,0.002015426954053983,0.5490467533041133,60.124376938361586,0.612494690000646,PRUNED
46,0.08588413318397015,2026-07-13 14:09:03.450127,2026-07-13 14:09:03.835057,0 days 00:00:00.384930,0.8438505581599975,0.09224660229351249,31,10,114,0.9370587917498933,500,51,4.459497931769766e-05,0.009919590246522524,36.171665459953964,0.6121383747033288,COMPLETE
47,0.03993364878449438,2026-07-13 14:09:03.836275,2026-07-13 14:09:04.292194,0 days 00:00:00.455919,0.8633920281297024,0.06574579337885915,31,7,80,0.8974990513277501,700,39,1.1719232257822934e-06,0.0026737167894455203,29.56248731979959,0.6755663601658116,PRUNED
48,0.09984220464291219,2026-07-13 14:09:04.293041,2026-07-13 14:09:04.683085,0 days 00:00:00.390044,0.8604947709208627,0.14984966510251907,63,9,129,0.7678010131797789,500,63,2.560099348316472e-05,0.0023399474793352943,20.135676012317855,0.6128591828512047,COMPLETE
49,0.062975334985395,2026-07-13 14:09:04.683923,2026-07-13 14:09:05.031433,0 days 00:00:00.347510,0.8324903965384022,0.09941391437177138,63,8,153,0.9479885375263915,300,60,0.00017962241488407216,0.008460603921483453,14.116848789854304,0.6249594025971994,COMPLETE
50,0.051139379383472544,2026-07-13 14:09:05.032166,2026-07-13 14:09:05.560649,0 days 00:00:00.528483,0.8298467974182706,0.10550877621092868,31,10,179,0.7723485993026119,1100,53,9.811561371640758e-06,0.06693836207590649,67.26684683877274,0.6437331240541486,PRUNED
51,0.05925943923976951,2026-07-13 14:09:05.561390,2026-07-13 14:09:06.309761,0 days 00:00:00.748371,0.9861201602570597,0.016438139488241615,127,5,166,0.8848417207094231,1600,57,0.3791571529937445,0.007425716303532779,38.851402022818995,0.6685476873606606,COMPLETE
52,0.04661547144797169,2026-07-13 14:09:06.310953,2026-07-13 14:09:06.705112,0 days 00:00:00.394159,0.7970090381626432,0.05948218185098945,31,10,104,0.5705449444603639,300,50,7.2629375185186225e-06,0.35035014448598895,33.26005201011012,0.6553631653965921,PRUNED
53,0.053336917445968995,2026-07-13 14:09:06.705963,2026-07-13 14:09:07.036304,0 days 00:00:00.330341,0.8513406971232235,0.11650270746855848,31,10,106,0.9474222480795921,200,48,4.4171098053826405e-05,0.0010228355600192486,52.88294854376878,0.6393104935511335,PRUNED
54,0.0911514989810912,2026-07-13 14:09:07.037403,2026-07-13 14:09:07.507023,0 days 00:00:00.469620,0.9052014053649252,0.1496887097398241,255,9,136,0.7366359020667376,900,63,2.9568847960885566e-07,8.137427695739054e-05,22.096525239480574,0.6406317421439436,COMPLETE
55,0.04278133075274161,2026-07-13 14:09:07.507806,2026-07-13 14:09:08.009093,0 days 00:00:00.501287,0.9906962572226118,0.05838189671362577,255,9,169,0.5016581309940991,800,57,7.784558595452282e-06,4.2358614972387735e-05,22.455479491559487,0.6241164518410159,PRUNED
56,0.042624418217983434,2026-07-13 14:09:08.010424,2026-07-13 14:09:08.470591,0 days 00:00:00.460167,0.8800154268916698,0.09100184750325663,127,8,136,0.6671635999905121,800,62,5.5868753800720514e-08,7.220112292150288e-08,29.86915584270371,0.7822652741677742,PRUNED
57,0.05751169149281101,2026-07-13 14:09:08.471367,2026-07-13 14:09:08.933456,0 days 00:00:00.462089,0.8812114601853588,0.12797259209299858,255,7,85,0.8877276075988906,1000,60,1.5738265823858777e-06,0.000559039328573599,18.66023455058232,0.7056398948181724,PRUNED
58,0.062139450244383304,2026-07-13 14:09:08.934539,2026-07-13 14:09:09.299115,0 days 00:00:00.364576,0.93167347580629,0.09439688081782055,255,10,83,0.570204171755507,300,57,0.00040156505090792354,0.023803924814599167,17.87473175940713,0.6356207822405066,COMPLETE
59,0.06493673494998274,2026-07-13 14:09:09.299918,2026-07-13 14:09:09.653911,0 days 00:00:00.353993,0.9798201678421167,0.09942921748500455,63,9,105,0.6757672299942545,300,54,1.0872992654523134e-07,1.8138170374698414e-05,29.051689274533587,0.6229600970966138,COMPLETE
