number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,params_scale_pos_weight,state
14,0.0731423964496704,2026-07-13 14:02:21.843887,2026-07-13 14:02:34.316107,0 days 00:00:12.472220,1.1046838214855041,64,9,900,2.8135519697907916,0.020615489835482784,0.001586393223785156,24.101361064867934,COMPLETE
15,0.16044999784892952,2026-07-13 14:02:34.316917,2026-07-13 14:02:39.935836,0 days 00:00:05.618919,1.6770531643277833,64,9,400,1.373223038795597,0.1361103693677455,0.004062197690317377,14.948495241458842,COMPLETE
16,0.0647569566425949,2026-07-13 14:02:39.936714,2026-07-13 14:02:47.967894,0 days 00:00:08.031180,3.4057085868099524,64,9,600,0.8922565881956788,0.10407339320098309,0.05259977538513591,20.022190372994014,COMPLETE
17,0.060385268608677045,2026-07-13 14:02:47.968696,2026-07-13 14:02:52.244244,0 days 00:00:04.275548,0.6760021478220961,64,7,800,11.220113539028011,0.014117106798086533,0.32366969594242806,16.175154472856853,COMPLETE
18,0.06657606721343876,2026-07-13 14:02:52.245337,2026-07-13 14:02:54.818918,0 days 00:00:02.573581,0.40503235898354495,128,8,300,6.340809308422561,0.08774560032071944,0.005634385644079184,34.44527543107043,COMPLETE
19,0.04371871632359313,2026-07-13 14:02:54.819729,2026-07-13 14:02:57.040843,0 days 00:00:02.221114,1.1488309586521495,64,7,400,0.1766310429559681,0.1358719488481291,0.7386566055912864,22.686234358535966,PRUNED
20,0.05626036474390787,2026-07-13 14:02:57.041655,2026-07-13 14:03:03.998211,0 days 00:00:06.956556,3.3940140758327813,254,9,500,0.4161339621426229,0.06989957028855981,0.001284968919682883,42.40861066007591,PRUNED
21,0.12381978224124626,2026-07-13 14:03:03.999035,2026-07-13 14:03:10.845104,0 days 00:00:06.846069,1.4599844310361016,64,9,500,7.2393869921413945,0.06997983658530478,0.007456742605257642,15.166792136874745,COMPLETE
22,0.06463601965553346,2026-07-13 14:03:10.845908,2026-07-13 14:03:14.076078,0 days 00:00:03.230170,1.1065617495880105,254,7,600,11.931589580614425,0.03442246647725452,0.009744388488197255,19.301719531427253,COMPLETE
23,0.033865968747108045,2026-07-13 14:03:14.077032,2026-07-13 14:03:16.771559,0 days 00:00:02.694527,1.729255693130448,64,7,500,0.6018811542973228,0.12235134294952718,0.001953159476938945,17.268972773367608,PRUNED
24,0.1022322003704004,2026-07-13 14:03:16.772389,2026-07-13 14:03:29.140144,0 days 00:00:12.367755,2.2445270083473807,64,9,900,14.459401771691542,0.04766823978060727,0.013997634676286655,14.95829249884902,COMPLETE
25,0.12854967226643024,2026-07-13 14:03:29.140962,2026-07-13 14:03:38.502666,0 days 00:00:09.361704,1.944589437255284,128,9,700,1.5532779364125338,0.09927411939522453,0.005059777339992384,16.27172665936451,COMPLETE
26,0.05128912149096264,2026-07-13 14:03:38.503461,2026-07-13 14:03:46.478918,0 days 00:00:07.975457,2.863001579542895,128,8,1000,0.5381126415756083,0.14353862168022447,0.004488711225201201,21.787443595915015,PRUNED
27,0.060738504692744846,2026-07-13 14:03:46.479708,2026-07-13 14:03:52.122677,0 days 00:00:05.642969,2.1674538230071483,128,8,700,1.0432316747565713,0.058817223472849095,0.03864325938517039,16.714689610969092,PRUNED
28,0.04812644317385592,2026-07-13 14:03:52.123485,2026-07-13 14:04:01.477801,0 days 00:00:09.354316,0.6069163854379436,254,9,700,9.540769360964099,0.13204907749222522,0.041130417577375684,32.463865414075435,PRUNED
29,0.08002502088706052,2026-07-13 14:04:01.479687,2026-07-13 14:04:05.661791,0 days 00:00:04.182104,0.5402332933151706,64,9,300,11.633413109853832,0.0863072089593961,0.018373016139241295,14.66478492278409,COMPLETE
30,0.08558339246008743,2026-07-13 14:04:05.663100,2026-07-13 14:04:19.293442,0 days 00:00:13.630342,0.6348625485909547,128,9,1000,5.983951194138178,0.06415375602455277,0.008295285851430705,20.153815601192743,COMPLETE
