number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
13,0.10506751887798678,2026-07-16 12:09:56.881631,2026-07-16 12:10:00.386814,0 days 00:00:03.505183,0.7023513250307846,2.6721383193188235e-08,0.02699260726666145,5,5,2.2024513661496594,1400,0.009365412484867587,0.8067763901992664,98.95623200377139,0.9053753275767182,COMPLETE
14,0.07317248643541517,2026-07-16 12:10:00.387747,2026-07-16 12:10:01.319092,0 days 00:00:00.931345,0.8298114175996141,9.52832641349304e-06,0.07549657829751505,5,6,24.826417262173223,700,1.3897758090626546e-06,2.747542867754443,52.84546317384185,0.8674364703876358,PRUNED
15,0.10789419536925353,2026-07-16 12:10:01.320037,2026-07-16 12:10:04.073650,0 days 00:00:02.753613,0.578701814608758,0.0012762855812400084,0.10366496627484004,2,9,2.3789831584768053,1200,5.412529905524491e-08,0.0029095204465356284,41.30133572493607,0.7858807520700631,COMPLETE
16,0.12039265701901347,2026-07-16 12:10:04.074657,2026-07-16 12:10:06.819445,0 days 00:00:02.744788,0.9173729483088124,1.9571689628223423e-05,0.10910183939865346,10,7,20.509247797887717,1300,4.933919128164412e-08,0.013152829822470128,19.640747832852657,0.6028830122268997,COMPLETE
17,0.118658020601277,2026-07-16 12:10:06.820313,2026-07-16 12:10:09.975355,0 days 00:00:03.155042,0.6639454416395068,1.9868512390938028e-06,0.14566482565675523,10,6,23.769078051680193,1700,0.00016644975614926928,0.0012136975030537184,89.18098221950792,0.6525279345203315,COMPLETE
18,0.07112952455432174,2026-07-16 12:10:09.976253,2026-07-16 12:10:11.406987,0 days 00:00:01.430734,0.6161772973784886,4.7105268226036476e-07,0.057758510995802405,0,6,16.21500854915498,1300,2.8489621798220633e-08,0.17748385172432327,48.58793068702038,0.603728863959262,PRUNED
19,0.10065831059828541,2026-07-16 12:10:11.408027,2026-07-16 12:10:14.846158,0 days 00:00:03.438131,0.7604049328388043,0.040038474278026606,0.11079939895211803,0,6,1.1824116694513327,1800,4.0329008103543545e-07,0.025234447014344772,49.3242226951765,0.8371489974003209,PRUNED
20,0.06717045789398457,2026-07-16 12:10:14.847017,2026-07-16 12:10:16.231322,0 days 00:00:01.384305,0.9774526795546848,3.5586884363930574e-08,0.0691754995448519,10,5,25.623101930896855,1500,6.990604825025888e-07,0.9525497023996742,32.617827450902666,0.9097438351380113,PRUNED
21,0.14374430477713013,2026-07-16 12:10:16.232176,2026-07-16 12:10:18.354314,0 days 00:00:02.122138,0.8392139373078994,1.45878981166922e-05,0.06984055779921519,10,9,19.862485637923665,1000,2.4225065446734543e-07,0.05693573157069866,17.50234707966415,0.6098239120489868,COMPLETE
22,0.10048655745879809,2026-07-16 12:10:18.355277,2026-07-16 12:10:20.021450,0 days 00:00:01.666173,0.9410387857089728,0.003310982827793652,0.05170948032149576,5,8,5.1516366875578825,800,3.3997109064262485e-08,2.2766460307401615,29.419741268775425,0.634060839639676,PRUNED
